Description,Old Price,Current Price,Link
"Sico Naturals Lubricante Íntimo 100 ml","","249.00","https://www.fahorro.com/sico-naturals-lubricante-intimo-100-ml.html"
"Lubricante a Base de Agua Prudence Natural 75 ml","","97.00","https://www.fahorro.com/lubricante-a-base-de-agua-prudence-natural-75-ml.html"
"Woman ISDIN Hidratante Vaginal con 12 Monodosis","Precio habitual  584.00","Precio especial  496.40","https://www.fahorro.com/woman-isdin-hidratante-vaginal-con-12-monodosis.html"
"Woman ISDIN Hidratante Vulvar 30 g","Precio habitual  278.00","Precio especial  236.30","https://www.fahorro.com/woman-isdin-hidratante-vulvar-30-g.html"
"K-Y Gel Lubricante Íntimo Envase 100 gr","","247.00","https://www.fahorro.com/k-y-gel-lubricante-intimo-envase-100-gr.html"
"K-Y Gel Lubricante Íntimo Envase 50 gr","","140.00","https://www.fahorro.com/k-y-gel-lubricante-intimo-envase-50-gr.html"
"Sico Softlube Original Lubricante Íntimo envase 56.7 gr","","106.00","https://www.fahorro.com/sico-softlube-original-lubricante-intimo-envase-56-7-gr.html"
"Sico Lubricante Íntimo Sensación de Calor 50 ml","","132.00","https://www.fahorro.com/sico-lubricante-intimo-sensacion-de-calor-50-ml.html"
"Sico Softlube Pleasure Plus Lubricante Íntimo Envase 56.7 gr","","122.00","https://www.fahorro.com/sico-softlube-pleasure-plus-lubricante-intimo-envase-56-7-gr.html"
"Postday 0.75 mg 2 Comprimidos","","89.00","https://www.fahorro.com/postday-0-75-mg-2-comprimidos.html"
"Postday 1.5 mg 1 Comprimido","","120.00","https://www.fahorro.com/postday-1-5-mg-1-comprimido.html"
"Sico, Lubricante Íntimo Sabor Cereza, 50 ml","","131.00","https://www.fahorro.com/sico-lubricante-intimo-sabor-cereza-50-ml.html"
